origin,dest,count
HUECHURABA,LA FLORIDA,207
HUECHURABA,LA PINTANA,102
HUECHURABA,LAMPA,1105
HUECHURABA,LAS CONDES,847
HUECHURABA,LO BARNECHEA,174
HUECHURABA,MAIPU,283
HUECHURABA,NUNOA,525
HUECHURABA,PENALOLEN,128
HUECHURABA,PROVIDENCIA,442
HUECHURABA,PUDAHUEL,135
HUECHURABA,PUENTE ALTO,269
HUECHURABA,QUILICURA,931
HUECHURABA,QUINTA NORMAL,132
HUECHURABA,RECOLETA,906
HUECHURABA,RENCA,245
HUECHURABA,SAN BERNARDO,141
HUECHURABA,SAN MIGUEL,231
HUECHURABA,SANTIAGO,931
HUECHURABA,VITACURA,361
INDEPENDENCIA,BUIN,182
INDEPENDENCIA,CERRILLOS,276
INDEPENDENCIA,CERRO NAVIA,266
INDEPENDENCIA,COLINA,662
INDEPENDENCIA,CONCHALI,1967
INDEPENDENCIA,EL BOSQUE,167
INDEPENDENCIA,ESTACION CENTRAL,1174
INDEPENDENCIA,HUECHURABA,710
INDEPENDENCIA,INDEPENDENCIA,69983
INDEPENDENCIA,LA CISTERNA,467
INDEPENDENCIA,LA FLORIDA,890
INDEPENDENCIA,LA GRANJA,137
INDEPENDENCIA,LA PINTANA,171
INDEPENDENCIA,LA REINA,108
INDEPENDENCIA,LAMPA,1322
INDEPENDENCIA,LAS CONDES,308
INDEPENDENCIA,LO ESPEJO,101
INDEPENDENCIA,LO PRADO,238
INDEPENDENCIA,MACUL,394
INDEPENDENCIA,MAIPU,888
INDEPENDENCIA,NUNOA,1022
INDEPENDENCIA,PADRE HURTADO,116
INDEPENDENCIA,PEDRO AGUIRRE CERDA,191
INDEPENDENCIA,PENALOLEN,256
INDEPENDENCIA,PROVIDENCIA,406
INDEPENDENCIA,PUDAHUEL,352
INDEPENDENCIA,PUENTE ALTO,626
INDEPENDENCIA,QUILICURA,1660
INDEPENDENCIA,QUINTA NORMAL,898
INDEPENDENCIA,RECOLETA,2213
INDEPENDENCIA,RENCA,1153
INDEPENDENCIA,SAN BERNARDO,379
INDEPENDENCIA,SAN JOAQUIN,303
INDEPENDENCIA,SAN MIGUEL,1100
INDEPENDENCIA,SANTIAGO,4688
IQUIQUE,COLINA,200
IQUIQUE,CONCHALI,137
IQUIQUE,EL BOSQUE,142
IQUIQUE,ESTACION CENTRAL,217
IQUIQUE,HUECHURABA,115
IQUIQUE,INDEPENDENCIA,106
IQUIQUE,LA CISTERNA,113
IQUIQUE,LA FLORIDA,299
IQUIQUE,LA REINA,146
IQUIQUE,LAS CONDES,805
IQUIQUE,MACUL,159
IQUIQUE,MAIPU,256
IQUIQUE,MELIPILLA,103
IQUIQUE,NUNOA,587
IQUIQUE,PENALOLEN,139
IQUIQUE,PROVIDENCIA,351
IQUIQUE,PUENTE ALTO,285
IQUIQUE,QUILICURA,122
IQUIQUE,QUINTA NORMAL,106
IQUIQUE,RECOLETA,104
IQUIQUE,SAN BERNARDO,170
IQUIQUE,SAN MIGUEL,199
IQUIQUE,SANTIAGO,1232
ISLA DE MAIPO,ISLA DE MAIPO,31581
ISLA DE MAIPO,PENAFLOR,112
ISLA DE MAIPO,SANTIAGO,210
ISLA DE MAIPO,TALAGANTE,515
LA CISTERNA,BUIN,549
LA CISTERNA,CALERA DE TANGO,112
LA CISTERNA,CERRILLOS,305
LA CISTERNA,COLINA,171
LA CISTERNA,CONCHALI,133
LA CISTERNA,EL BOSQUE,1315
LA CISTERNA,ESTACION CENTRAL,421
LA CISTERNA,INDEPENDENCIA,213
LA CISTERNA,LA CISTERNA,63710
LA CISTERNA,LA FLORIDA,1077
LA CISTERNA,LA GRANJA,503
LA CISTERNA,LA PINTANA,434
LA CISTERNA,LAMPA,224
LA CISTERNA,LAS CONDES,199
LA CISTERNA,LO ESPEJO,354
LA CISTERNA,MACUL,237
LA CISTERNA,MAIPU,777
LA CISTERNA,MELIPILLA,131
LA CISTERNA,NUNOA,499
LA CISTERNA,PADRE HURTADO,208
LA CISTERNA,PAINE,153
LA CISTERNA,PEDRO AGUIRRE CERDA,306
LA CISTERNA,PENAFLOR,118
LA CISTERNA,PENALOLEN,279
LA CISTERNA,PROVIDENCIA,232
LA CISTERNA,PUDAHUEL,194
LA CISTERNA,PUENTE ALTO,1081
LA CISTERNA,QUILICURA,185
LA CISTERNA,QUINTA NORMAL,179
LA CISTERNA,RECOLETA,198
LA CISTERNA,RENCA,103
LA CISTERNA,SAN BERNARDO,1417
LA CISTERNA,SAN JOAQUIN,302
LA CISTERNA,SAN MIGUEL,2098
LA CISTERNA,SAN RAMON,759
LA CISTERNA,SANTIAGO,1367
LA CISTERNA,TALAGANTE,107
LA FLORIDA,BUIN,1180
LA FLORIDA,CERRILLOS,328
