origin,dest,count
LO ESPEJO,LA CISTERNA,1039
LO ESPEJO,LO ESPEJO,72739
LO ESPEJO,MAIPU,1042
LO ESPEJO,PEDRO AGUIRRE CERDA,809
LO ESPEJO,PUENTE ALTO,656
LO ESPEJO,SAN BERNARDO,1092
LO ESPEJO,SAN MIGUEL,707
LO ESPEJO,SANTIAGO,830
LO PRADO,CERRO NAVIA,927
LO PRADO,ESTACION CENTRAL,1133
LO PRADO,LO PRADO,70065
LO PRADO,MAIPU,1353
LO PRADO,PUDAHUEL,2291
LO PRADO,QUINTA NORMAL,1035
LO PRADO,SANTIAGO,1257
LOLOL,LOLOL,6417
LONCOCHE,LONCOCHE,19659
LONGAVI,LONGAVI,27142
LONQUIMAY,LONQUIMAY,8586
LOS ALAMOS,LOS ALAMOS,18153
LOS ANDES,CALLE LARGA,1426
LOS ANDES,LOS ANDES,51053
LOS ANDES,SAN ESTEBAN,1249
LOS ANDES,SAN FELIPE,777
LOS ANDES,VINA DEL MAR,793
LOS ANGELES,CONCEPCION,2188
LOS ANGELES,LOS ANGELES,185051
LOS LAGOS,LOS LAGOS,17303
LOS MUERMOS,LOS MUERMOS,14193
LOS MUERMOS,PUERTO MONTT,550
LOS SAUCES,LOS SAUCES,6159
LOS VILOS,LOS VILOS,18197
LOTA,CORONEL,2413
LOTA,LOTA,35369
LOTA,SAN PEDRO DE LA PAZ,595
LUMACO,LUMACO,8003
MACHALI,MACHALI,45626
MACHALI,RANCAGUA,2141
MACUL,LA FLORIDA,3508
MACUL,LAS CONDES,562
MACUL,MACUL,84607
MACUL,MAIPU,595
MACUL,NUNOA,3027
MACUL,PENALOLEN,2481
MACUL,PROVIDENCIA,746
MACUL,PUENTE ALTO,2218
MACUL,SAN JOAQUIN,653
MACUL,SAN MIGUEL,803
MACUL,SANTIAGO,1775
MAFIL,MAFIL,6296
MAIPU,BUIN,1005
MAIPU,CERRILLOS,2560
MAIPU,CERRO NAVIA,739
MAIPU,COLINA,793
MAIPU,COQUIMBO,514
MAIPU,EL BOSQUE,544
MAIPU,ESTACION CENTRAL,3369
MAIPU,INDEPENDENCIA,657
MAIPU,LA CISTERNA,948
MAIPU,LA FLORIDA,1864
MAIPU,LAMPA,1301
MAIPU,LAS CONDES,1077
MAIPU,LO PRADO,863
MAIPU,MACUL,905
MAIPU,MAIPU,418516
MAIPU,MELIPILLA,966
MAIPU,NUNOA,2703
MAIPU,PADRE HURTADO,6205
MAIPU,PEDRO AGUIRRE CERDA,638
MAIPU,PENAFLOR,1652
